shipment_id,product,origin,destination,weight_kg,max_price_per_kg_INR
F0085,Orange,Jharsuguda,Dhenkanal,533,2.56
F0086,Dairy Products,Koraput,Balangir,1642,1.97
F0087,Wheat,Cuttack,Angul,1209,2.16
F0088,Guava,Balangir,Balasore,655,2.15
F0089,Fabric,Jeypore,Dhenkanal,372,2.78
F0090,Potato,Berhampur,Jharsuguda,275,1.6
F0091,Carrot,Cuttack,Sambalpur,390,1.74
F0092,Sapota,Dhenkanal,Jharsuguda,1377,3.27
F0093,Rice,Balasore,Paradip,1033,5.44
F0094,Brinjal,Bhawanipatna,Angul,134,2.32
F0095,Wheat,Sambalpur,Puri,536,4.07
F0096,Fabric,Baripada,Puri,146,3.18
F0097,Fabric,Angul,Bhawanipatna,248,5.25
F0098,Apple,Cuttack,Baripada,1853,1.95
F0099,Rice,Balangir,Rayagada,1810,5.91
F0100,Pomegranate,Balangir,Dhenkanal,1569,4.39
F0101,Leafy Greens,Rayagada,Koraput,312,3.91
F0102,Pomegranate,Angul,Paradip,1722,3.58
F0103,Brinjal,Bhadrak,Koraput,1297,2.7
F0104,Mango,Rourkela,Jharsuguda,981,3.38
F0105,Leafy Greens,Sambalpur,Bhadrak,766,3.15
F0106,Cauliflower,Balasore,Jharsuguda,789,4.59
F0107,Grapes,Puri,Balangir,1900,5.62
F0108,Rice,Jharsuguda,Rayagada,690,3.91
F0109,Dairy Products,Balangir,Jharsuguda,1322,5.12
F0110,Potato,Angul,Rayagada,1284,2.8
F0111,Papaya,Koraput,Bhubaneswar,444,4.63
F0112,Onion,Bhawanipatna,Jeypore,307,4.26
F0113,Leafy Greens,Cuttack,Jajpur,1465,1.88
F0114,Onion,Jeypore,Kendrapara,317,5.81
F0115,Papaya,Balangir,Bhadrak,1207,5.02
F0116,Dairy Products,Rayagada,Jeypore,1894,2.64
F0117,Carrot,Dhenkanal,Bhubaneswar,235,4.27
F0118,Papaya,Berhampur,Rourkela,1151,4.08
F0119,Tomato,Jharsuguda,Kendrapara,1069,4.94
F0120,Fabric,Rayagada,Jharsuguda,1009,4.2
F0121,Papaya,Jeypore,Balangir,283,2.03
F0122,Carrot,Cuttack,Angul,1332,3.38
F0123,Fabric,Rayagada,Berhampur,1358,3.0
F0124,Cauliflower,Bhawanipatna,Rayagada,1536,2.72
F0125,Brinjal,Bhadrak,Dhenkanal,663,2.21
F0126,Dairy Products,Rourkela,Cuttack,1875,3.47
F0127,Cauliflower,Bhadrak,Rourkela,1472,3.99
F0128,Fabric,Jeypore,Balasore,1571,3.66
F0129,Papaya,Bhadrak,Kendrapara,1973,4.73
F0130,Rice,Paradip,Baripada,281,5.33
F0131,Wheat,Jajpur,Rourkela,287,4.15
F0132,Banana,Kendrapara,Angul,73,3.54
F0133,Carrot,Balangir,Baripada,625,3.56
F0134,Orange,Baripada,Bhubaneswar,638,5.63
F0135,Cauliflower,Rayagada,Angul,265,5.99
F0136,Banana,Bhawanipatna,Kendrapara,603,5.27
F0137,Banana,Rourkela,Kendrapara,1998,4.5
F0138,Papaya,Kendrapara,Dhenkanal,226,5.54
F0139,Rice,Bhubaneswar,Puri,519,2.14
F0140,Rice,Rayagada,Balangir,436,5.6
F0141,Orange,Kendrapara,Jeypore,120,1.52
F0142,Papaya,Cuttack,Balangir,1231,5.11
F0143,Dairy Products,Sambalpur,Balasore,1706,1.76
F0144,Cabbage,Balangir,Paradip,1859,4.97
F0145,Rice,Kendrapara,Balangir,1684,1.68
F0146,Tomato,Sambalpur,Rourkela,293,3.77
F0147,Onion,Koraput,Angul,1278,5.33
F0148,Sapota,Berhampur,Balangir,1482,2.37
F0149,Banana,Puri,Cuttack,1434,5.91
F0150,Cauliflower,Jajpur,Jharsuguda,156,4.27
