trip_id,mode,distance_km,num_transfers,monsoon_flag,planned_hours,actual_hours,delay_hours
T00091,Road-only,1060,0,Y,25.24,28.17,2.93
T00092,Road-Rail-Road,679,2,N,18.76,22.7,3.94
T00093,Road-only,1182,0,N,28.14,30.33,2.18
T00094,Rail-only,1070,1,N,23.4,26.27,2.87
T00095,Road-only,1311,0,Y,31.21,37.36,6.15
T00096,Road-Rail-Road,1013,1,N,24.02,25.51,1.49
T00097,Road-only,223,0,N,5.31,4.93,-0.38
T00098,Road-only,810,0,N,19.29,17.36,-1.93
T00099,Road-only,640,0,N,15.24,14.72,-0.52
T00100,Road-only,1145,0,Y,27.26,35.08,7.82
T00101,Road-Rail-Road,283,2,Y,10.15,18.14,7.99
T00102,Rail-only,694,1,N,15.88,17.16,1.28
T00103,Road-only,1169,0,N,27.83,27.84,0.01
T00104,Rail-only,898,1,N,19.96,21.19,1.23
T00105,Road-Rail-Road,130,2,N,6.83,10.13,3.3
T00106,Road-only,1160,0,N,27.62,25.83,-1.78
T00107,Rail-only,564,1,Y,13.28,21.06,7.78
T00108,Rail-only,975,1,N,21.5,21.38,-0.12
T00109,Road-only,942,0,Y,22.43,25.15,2.72
T00110,Rail-only,927,1,Y,20.54,28.25,7.71
T00111,Road-Rail-Road,630,1,N,15.7,16.01,0.32
T00112,Road-Rail-Road,616,2,N,17.39,20.17,2.77
T00113,Road-only,212,0,N,5.05,4.54,-0.5
T00114,Road-Rail-Road,816,1,N,19.74,24.7,4.96
T00115,Road-only,464,0,Y,11.05,14.02,2.97
T00116,Road-Rail-Road,602,1,Y,15.09,24.39,9.3
T00117,Road-Rail-Road,300,2,N,10.52,14.66,4.14
T00118,Road-only,1062,0,N,25.29,24.74,-0.55
T00119,Road-only,1298,0,Y,30.9,32.13,1.23
T00120,Road-Rail-Road,582,1,N,14.65,17.88,3.22
T00121,Road-only,639,0,N,15.21,17.81,2.59
T00122,Rail-only,695,1,N,15.9,15.91,0.01
T00123,Road-Rail-Road,175,2,N,7.8,8.8,0.99
T00124,Rail-only,1077,1,Y,23.54,29.66,6.12
T00125,Road-Rail-Road,1242,1,N,29.0,31.56,2.56
T00126,Road-only,744,0,Y,17.71,25.87,8.16
T00127,Road-only,161,0,N,3.83,3.45,-0.38
T00128,Road-only,526,0,N,12.52,13.34,0.81
T00129,Road-only,288,0,N,6.86,6.17,-0.69
T00130,Road-only,1171,0,N,27.88,31.02,3.14
T00131,Road-Rail-Road,1136,1,N,26.7,27.84,1.15
T00132,Rail-only,582,1,Y,13.64,19.61,5.97
T00133,Road-only,576,0,N,13.71,13.53,-0.19
T00134,Road-only,1195,0,N,28.45,28.24,-0.21
T00135,Road-Rail-Road,197,2,Y,8.28,19.52,11.24
T00136,Road-only,1116,0,Y,26.57,30.56,3.99
T00137,Road-Rail-Road,1350,2,N,33.35,37.52,4.17
T00138,Rail-only,670,1,N,15.4,18.49,3.09
T00139,Rail-only,1075,1,Y,23.5,29.75,6.25
T00140,Road-Rail-Road,1021,2,N,26.2,30.49,4.29
T00141,Road-Rail-Road,1263,2,N,31.46,35.74,4.29
T00142,Rail-only,125,1,N,4.5,7.3,2.8
T00143,Road-only,1011,0,N,24.07,23.63,-0.44
T00144,Road-Rail-Road,594,1,N,14.91,16.94,2.02
T00145,Road-only,1214,0,Y,28.9,33.4,4.5
T00146,Road-Rail-Road,1215,1,Y,28.41,34.36,5.95
T00147,Road-only,457,0,N,10.88,12.7,1.82
T00148,Road-only,844,0,N,20.1,18.09,-2.01
T00149,Rail-only,731,1,N,16.62,19.06,2.44
T00150,Road-Rail-Road,816,1,N,19.74,23.31,3.57
T00151,Road-only,1178,0,N,28.05,27.91,-0.14
T00152,Road-Rail-Road,957,2,Y,24.8,34.1,9.29
T00153,Rail-only,1078,1,N,23.56,23.98,0.42
T00154,Road-Rail-Road,974,1,Y,23.17,32.9,9.73
T00155,Rail-only,410,1,N,10.2,12.13,1.93
T00156,Road-Rail-Road,850,2,Y,22.48,30.56,8.08
T00157,Road-only,580,0,N,13.81,15.3,1.49
T00158,Road-only,635,0,N,15.12,14.28,-0.84
T00159,Road-only,227,0,N,5.4,5.76,0.35
T00160,Road-only,322,0,Y,7.67,7.36,-0.3
T00161,Road-only,533,0,N,12.69,13.84,1.15
T00162,Road-Rail-Road,466,1,N,12.13,13.55,1.42
T00163,Road-Rail-Road,920,1,Y,22.0,25.74,3.74
T00164,Road-only,466,0,Y,11.1,17.83,6.74
T00165,Rail-only,407,1,Y,10.14,15.04,4.9
T00166,Road-only,648,0,N,15.43,13.89,-1.54
T00167,Rail-only,830,1,N,18.6,19.51,0.91
T00168,Rail-only,1398,1,N,29.96,29.73,-0.23
T00169,Road-only,753,0,Y,17.93,26.58,8.65
T00170,Road-Rail-Road,545,1,N,13.85,18.8,4.95
T00171,Road-only,504,0,Y,12.0,15.18,3.18
T00172,Rail-only,670,1,N,15.4,17.88,2.48
T00173,Rail-only,1303,1,N,28.06,28.52,0.46
T00174,Road-only,570,0,N,13.57,14.1,0.53
T00175,Road-only,405,0,N,9.64,10.61,0.97
T00176,Road-only,847,0,N,20.17,22.1,1.93
T00177,Road-Rail-Road,1100,2,Y,27.91,38.15,10.23
T00178,Road-Rail-Road,1331,1,N,30.93,35.97,5.04
T00179,Road-Rail-Road,451,2,Y,13.8,20.85,7.04
T00180,Road-only,1253,0,N,29.83,30.25,0.42
T00181,Road-Rail-Road,1209,2,N,30.28,36.24,5.96
T00182,Road-Rail-Road,577,1,N,14.54,16.67,2.12
T00183,Road-Rail-Road,522,1,N,13.35,13.37,0.02
T00184,Rail-only,432,1,Y,10.64,15.5,4.86
T00185,Road-Rail-Road,498,2,N,14.83,19.76,4.94
T00186,Road-only,1247,0,N,29.69,29.61,-0.08
T00187,Road-only,490,0,N,11.67,13.39,1.72
T00188,Road-only,731,0,N,17.4,15.66,-1.74
T00189,Road-only,1313,0,Y,31.26,36.02,4.76
T00190,Road-only,984,0,Y,23.43,32.28,8.85
T00191,Road-only,252,0,N,6.0,6.84,0.84
T00192,Rail-only,176,1,Y,5.52,12.05,6.53
T00193,Road-only,375,0,N,8.93,11.21,2.28
T00194,Rail-only,1223,1,N,26.46,29.37,2.91
T00195,Road-only,379,0,N,9.02,10.31,1.29
T00196,Rail-only,493,1,N,11.86,13.68,1.82
T00197,Road-only,792,0,N,18.86,21.55,2.69
T00198,Road-only,732,0,Y,17.43,22.15,4.72
T00199,Road-Rail-Road,179,2,N,7.89,11.76,3.87
T00200,Rail-only,341,1,Y,8.82,12.01,3.19
T00201,Road-Rail-Road,1392,2,N,34.26,37.15,2.89
T00202,Rail-only,634,1,N,14.68,14.31,-0.37
T00203,Rail-only,446,1,N,10.92,10.62,-0.3
T00204,Road-only,1173,0,N,27.93,27.36,-0.57
T00205,Rail-only,694,1,Y,15.88,22.02,6.14
T00206,Road-only,1172,0,N,27.9,28.65,0.74
T00207,Road-Rail-Road,290,1,Y,8.3,11.97,3.66
T00208,Road-Rail-Road,705,2,Y,19.33,26.46,7.14
T00209,Road-Rail-Road,1149,2,Y,28.98,41.93,12.95
T00210,Road-only,1093,0,N,26.02,25.65,-0.37
T00211,Road-only,973,0,N,23.17,22.1,-1.06
T00212,Road-only,684,0,Y,16.29,21.26,4.98
T00213,Road-only,1167,0,Y,27.79,31.03,3.25
T00214,Rail-only,572,1,Y,13.44,17.55,4.11
T00215,Road-Rail-Road,951,2,Y,24.67,33.14,8.47
T00216,Road-only,800,0,Y,19.05,26.57,7.52
T00217,Road-Rail-Road,478,1,N,12.39,11.61,-0.78
T00218,Road-Rail-Road,345,1,N,9.5,10.42,0.92
T00219,Road-only,781,0,N,18.6,17.26,-1.34
T00220,Road-Rail-Road,497,2,Y,14.8,22.29,7.48
T00221,Road-Rail-Road,762,2,N,20.57,26.21,5.64
T00222,Road-only,1012,0,Y,24.1,27.72,3.62
T00223,Rail-only,1138,1,N,24.76,26.92,2.16
T00224,Rail-only,1097,1,N,23.94,23.71,-0.23
T00225,Rail-only,753,1,N,17.06,17.14,0.08
T00226,Road-only,154,0,Y,3.67,8.99,5.32
T00227,Rail-only,318,1,N,8.36,10.49,2.13
T00228,Rail-only,1047,1,N,22.94,23.56,0.62
T00229,Road-Rail-Road,865,1,N,20.8,21.63,0.83
T00230,Road-Rail-Road,1159,1,N,27.2,27.74,0.55
T00231,Road-only,727,0,N,17.31,17.45,0.14
T00232,Road-Rail-Road,667,1,N,16.5,19.32,2.82
T00233,Road-Rail-Road,403,2,N,12.76,16.52,3.76
T00234,Road-Rail-Road,162,1,Y,5.52,13.99,8.47
T00235,Road-only,269,0,Y,6.4,11.87,5.46
T00236,Road-only,981,0,N,23.36,24.67,1.31
T00237,Rail-only,845,1,Y,18.9,26.62,7.72
T00238,Road-only,404,0,N,9.62,8.66,-0.96
T00239,Rail-only,558,1,N,13.16,12.84,-0.32
T00240,Road-Rail-Road,929,2,Y,24.2,31.05,6.86
T00241,Road-only,584,0,Y,13.9,21.98,8.07
T00242,Road-only,577,0,Y,13.74,24.01,10.27
T00243,Road-only,436,0,Y,10.38,12.88,2.5
T00244,Rail-only,921,1,N,20.42,23.19,2.77
T00245,Road-only,1255,0,N,29.88,30.26,0.38
T00246,Road-only,420,0,N,10.0,9.0,-1.0
T00247,Road-only,464,0,Y,11.05,17.46,6.42
T00248,Rail-only,709,1,N,16.18,18.75,2.57
T00249,Road-Rail-Road,331,1,N,9.2,10.79,1.6
T00250,Road-only,772,0,N,18.38,21.28,2.9
T00251,Road-only,1248,0,Y,29.71,31.16,1.45
T00252,Rail-only,912,1,N,20.24,21.8,1.56
T00253,Road-only,297,0,N,7.07,7.57,0.5
T00254,Road-only,348,0,N,8.29,7.46,-0.83
T00255,Road-only,180,0,N,4.29,4.51,0.22
T00256,Road-only,1349,0,N,32.12,33.44,1.32
T00257,Road-only,536,0,N,12.76,12.99,0.23
T00258,Road-Rail-Road,461,1,Y,12.02,17.15,5.13
T00259,Rail-only,1213,1,N,26.26,30.28,4.02
T00260,Road-only,483,0,N,11.5,10.35,-1.15
T00261,Road-only,387,0,N,9.21,11.43,2.22
T00262,Road-Rail-Road,418,1,Y,11.09,24.05,12.97
T00263,Road-only,603,0,N,14.36,15.83,1.47
T00264,Road-only,169,0,N,4.02,5.54,1.52
T00265,Road-only,926,0,N,22.05,19.94,-2.11
T00266,Road-only,638,0,N,15.19,15.01,-0.18
T00267,Road-Rail-Road,1361,2,N,33.59,34.32,0.73
T00268,Road-only,1098,0,Y,26.14,32.23,6.08
T00269,Road-only,587,0,N,13.98,15.43,1.45
T00270,Road-Rail-Road,1016,1,N,24.09,24.53,0.45
T00271,Rail-only,1144,1,N,24.88,25.21,0.33
T00272,Road-only,338,0,N,8.05,7.24,-0.8
T00273,Road-only,290,0,N,6.9,6.67,-0.24
T00274,Road-Rail-Road,260,2,N,9.65,14.69,5.04
T00275,Road-only,139,0,Y,3.31,8.96,5.65
T00276,Road-Rail-Road,504,2,N,14.96,17.55,2.6
T00277,Road-only,1127,0,N,26.83,29.66,2.83
T00278,Road-Rail-Road,1094,1,N,25.78,26.16,0.38
T00279,Road-Rail-Road,578,2,N,16.57,20.94,4.37
T00280,Road-Rail-Road,724,1,N,17.74,19.02,1.28
T00281,Rail-only,1092,1,N,23.84,26.31,2.47
T00282,Road-only,1298,0,Y,30.9,38.05,7.14
T00283,Road-only,451,0,N,10.74,11.24,0.5
T00284,Rail-only,946,1,N,20.92,20.6,-0.32
T00285,Road-Rail-Road,863,2,Y,22.76,28.66,5.9
T00286,Road-only,899,0,N,21.4,23.0,1.6
T00287,Road-only,1139,0,Y,27.12,29.46,2.34
T00288,Rail-only,1093,1,N,23.86,28.4,4.54
T00289,Road-Rail-Road,602,1,Y,15.09,26.36,11.28
T00290,Road-Rail-Road,1070,2,N,27.26,31.86,4.6
T00291,Road-only,152,0,N,3.62,4.59,0.97
T00292,Road-only,533,0,N,12.69,13.82,1.12
T00293,Road-Rail-Road,367,2,N,11.98,17.51,5.53
T00294,Rail-only,419,1,N,10.38,10.04,-0.34
T00295,Road-Rail-Road,1270,1,N,29.61,32.93,3.33
T00296,Road-Rail-Road,657,1,N,16.28,18.15,1.87
T00297,Road-Rail-Road,176,1,Y,5.83,11.49,5.66
T00298,Road-Rail-Road,725,2,N,19.76,22.3,2.54
T00299,Road-Rail-Road,171,2,N,7.72,10.79,3.07
T00300,Road-only,267,0,Y,6.36,9.87,3.51
T00301,Rail-only,586,1,N,13.72,13.44,-0.28
T00302,Road-only,662,0,N,15.76,14.35,-1.41
T00303,Road-Rail-Road,386,2,Y,12.39,22.99,10.6
T00304,Road-Rail-Road,924,2,N,24.09,28.93,4.85
T00305,Road-Rail-Road,735,1,Y,17.98,27.72,9.74
T00306,Road-only,259,0,N,6.17,7.95,1.78
T00307,Road-only,1165,0,Y,27.74,32.13,4.39
T00308,Road-only,262,0,Y,6.24,12.58,6.34
T00309,Road-only,554,0,N,13.19,13.61,0.42
T00310,Road-Rail-Road,309,1,N,8.72,7.85,-0.87
T00311,Rail-only,1325,1,Y,28.5,33.87,5.37
T00312,Road-only,453,0,N,10.79,10.93,0.15
T00313,Rail-only,1224,1,Y,26.48,34.24,7.76
T00314,Road-Rail-Road,1349,1,N,31.33,31.72,0.39
T00315,Road-only,369,0,N,8.79,9.37,0.58
T00316,Road-Rail-Road,114,1,N,4.48,5.47,0.99
T00317,Road-Rail-Road,97,2,Y,6.11,18.23,12.12
T00318,Road-only,322,0,N,7.67,7.66,-0.01
T00319,Road-only,608,0,N,14.48,14.03,-0.45
T00320,Road-Rail-Road,297,1,N,8.46,9.62,1.17
T00321,Road-Rail-Road,1343,1,N,31.2,31.44,0.25
T00322,Road-only,706,0,Y,16.81,22.32,5.51
T00323,Road-Rail-Road,1199,1,N,28.07,30.09,2.03
T00324,Road-Rail-Road,99,2,N,6.15,11.4,5.25
T00325,Road-Rail-Road,254,2,N,9.52,16.44,6.92
T00326,Road-only,684,0,N,16.29,18.22,1.93
T00327,Road-only,294,0,N,7.0,6.3,-0.7
T00328,Road-Rail-Road,295,1,Y,8.41,15.24,6.83
T00329,Road-only,111,0,N,2.64,2.38,-0.26
T00330,Road-only,435,0,Y,10.36,14.24,3.88
T00331,Rail-only,1087,1,Y,23.74,31.5,7.76
T00332,Road-only,1126,0,N,26.81,26.04,-0.77
T00333,Road-Rail-Road,751,2,N,20.33,25.94,5.61
T00334,Road-only,322,0,N,7.67,7.93,0.27
T00335,Road-Rail-Road,673,1,N,16.63,15.85,-0.78
T00336,Road-only,894,0,Y,21.29,30.57,9.28
T00337,Road-Rail-Road,274,1,Y,7.96,18.39,10.44
T00338,Road-only,616,0,N,14.67,13.81,-0.86
T00339,Road-only,1166,0,N,27.76,29.01,1.25
T00340,Road-only,631,0,N,15.02,13.92,-1.1
T00341,Road-only,701,0,N,16.69,18.38,1.69
T00342,Road-only,1158,0,N,27.57,27.24,-0.33
T00343,Road-Rail-Road,966,2,N,25.0,25.75,0.75
T00344,Road-only,292,0,Y,6.95,11.27,4.32
T00345,Road-only,884,0,Y,21.05,27.4,6.35
T00346,Road-Rail-Road,1299,1,N,30.24,31.83,1.59
T00347,Road-Rail-Road,359,1,N,9.8,11.47,1.67
T00348,Road-Rail-Road,1259,2,N,31.37,36.51,5.14
T00349,Road-only,854,0,Y,20.33,23.33,3.0
T00350,Road-only,962,0,N,22.9,20.61,-2.29
T00351,Road-only,517,0,N,12.31,12.45,0.14
T00352,Road-only,145,0,N,3.45,3.11,-0.35
T00353,Road-only,115,0,N,2.74,3.1,0.37
T00354,Rail-only,955,1,N,21.1,23.96,2.86
T00355,Road-only,1377,0,N,32.79,33.2,0.41
T00356,Road-only,872,0,N,20.76,20.18,-0.58
T00357,Road-Rail-Road,552,2,N,16.0,21.02,5.02
T00358,Road-only,1099,0,N,26.17,25.97,-0.2
T00359,Road-only,1327,0,N,31.6,30.77,-0.82
T00360,Rail-only,362,1,N,9.24,8.93,-0.31
T00361,Road-only,217,0,N,5.17,4.65,-0.52
T00362,Rail-only,1338,1,N,28.76,31.79,3.03
T00363,Road-only,139,0,N,3.31,3.29,-0.02
T00364,Rail-only,1249,1,Y,26.98,36.04,9.06
T00365,Rail-only,270,1,Y,7.4,12.91,5.51
T00366,Rail-only,230,1,N,6.6,9.36,2.76
T00367,Road-only,445,0,Y,10.6,14.62,4.03
T00368,Road-Rail-Road,496,2,N,14.78,20.69,5.91
T00369,Road-Rail-Road,516,1,N,13.22,16.11,2.89
T00370,Road-only,122,0,N,2.9,3.26,0.36
T00371,Road-only,1207,0,Y,28.74,33.64,4.9
T00372,Road-only,1176,0,N,28.0,26.83,-1.17
T00373,Road-Rail-Road,977,1,Y,23.24,35.46,12.22
T00374,Road-Rail-Road,1287,2,N,31.98,36.72,4.74
T00375,Road-only,1317,0,N,31.36,30.92,-0.44
T00376,Road-Rail-Road,1386,1,N,32.13,35.24,3.11
T00377,Road-only,575,0,Y,13.69,22.12,8.43
T00378,Rail-only,887,1,N,19.74,22.2,2.46
T00379,Road-only,1087,0,N,25.88,25.28,-0.6
T00380,Road-Rail-Road,959,1,Y,22.85,37.11,14.26
T00381,Road-only,1124,0,N,26.76,27.35,0.59
T00382,Road-only,975,0,Y,23.21,29.08,5.86
T00383,Rail-only,591,1,N,13.82,15.76,1.94
T00384,Road-only,832,0,N,19.81,17.83,-1.98
T00385,Road-only,342,0,N,8.14,7.33,-0.81
T00386,Road-only,1337,0,N,31.83,32.44,0.61
T00387,Road-Rail-Road,1261,1,Y,29.41,36.01,6.6
T00388,Road-Rail-Road,882,2,N,23.17,25.19,2.02
T00389,Road-Rail-Road,1092,2,N,27.74,27.38,-0.36
T00390,Road-Rail-Road,523,1,N,13.37,12.5,-0.87
T00391,Road-Rail-Road,583,1,Y,14.67,17.63,2.96
T00392,Road-Rail-Road,756,2,N,20.43,22.87,2.44
T00393,Rail-only,428,1,N,10.56,12.42,1.86
T00394,Road-Rail-Road,104,1,N,4.26,7.06,2.8
T00395,Road-only,602,0,Y,14.33,25.22,10.89
T00396,Road-only,1035,0,N,24.64,25.96,1.32
T00397,Road-Rail-Road,424,1,N,11.22,12.4,1.18
T00398,Road-only,995,0,N,23.69,22.38,-1.31
T00399,Road-Rail-Road,870,2,Y,22.91,22.58,-0.33
T00400,Rail-only,635,1,Y,14.7,18.89,4.19
